ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
03/08/2020,,Bosnia and Herzegovina,2020-03-07 02:13:09,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
03/08/2020,,Luxembourg,2020-03-08 05:13:06,3.0,0.0,0.0,Luxembourg,WESTERN EUROPE                     ,474413.0,2586.0,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86
03/08/2020,,Malta,2020-03-08 09:13:16,3.0,0.0,0.0,Malta,WESTERN EUROPE                     ,400214.0,316.0,1266.5,62.28,2.07,3.89,17700.0,92.8,505.0,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74
03/08/2020,,North Macedonia,2020-03-06 20:23:11,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
03/08/2020,,Saint Barthelemy,2020-03-04 02:43:03,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
03/08/2020,,Slovakia,2020-03-08 09:13:15,3.0,0.0,0.0,Slovakia,EASTERN EUROPE                     ,5439448.0,48845.0,111.4,0.0,0.3,7.41,13300.0,,220.1,30.16,2.62,67.22,3.0,10.65,9.45,0.035,0.294,0.672
03/08/2020,,South Africa,2020-03-08 10:23:04,3.0,0.0,0.0,South Africa,SUB-SAHARAN AFRICA                 ,44187637.0,1219912.0,36.2,0.23,-0.29,61.81,10700.0,86.4,107.0,12.08,0.79,87.13,1.0,18.2,22.0,0.025,0.303,0.6709999999999999
03/08/2020,,Cambodia,2020-03-08 04:53:03,2.0,0.0,1.0,Cambodia,ASIA (EX. NEAR EAST)         ,13881427.0,181040.0,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,2.0,26.9,9.06,0.35,0.3,0.35
03/08/2020,,Cameroon,2020-03-08 05:23:03,2.0,0.0,0.0,Cameroon,SUB-SAHARAN AFRICA                 ,17340702.0,475440.0,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
03/08/2020,,Faroe Islands,2020-03-08 05:13:07,2.0,0.0,0.0,Faroe Islands,WESTERN EUROPE                     ,47246.0,1399.0,33.8,79.84,1.41,6.24,22000.0,,503.8,2.14,0.0,97.86,,14.05,8.7,0.27,0.11,0.62
